"Destination","Origin","M_Size","Date","DataDate","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","OriginLon","OriginLat","DestLon","DestLat","dist","logFlow","flowLag1","preds"
"Deir Ezzor","Hassakeh",91,"Jun 2016","Mar 2016",-0.458524486126197,-0.60221988481347,-1.55941782460285,0.792809823590564,0.872092302693407,-1.02216150585878,5,-0.525684788482633,-0.391454645854978,-0.492127252825719,-0.525684788482633,40.74627,36.50787,40.13503,35.32965,-0.109923602218688,4.51085950651685,5.42053499927229,5.07715328048624
"Hassakeh","Raqqa",830,"Jun 2016","Mar 2016",-1.07043122133282,0.0193645523540097,0.312382830211508,-0.344546151983772,-0.578512838882549,-1.86068002687869,5,0.246138531626379,-0.525684788482633,-0.240445735398867,-0.492127252825719,38.99811,35.95941,40.74627,36.50787,0.0876924440724189,6.72142570079064,6.01615715969835,5.75670671243552
"Deir Ezzor","Raqqa",650,"Jun 2016","Mar 2016",-1.07043122133282,0.0193645523540097,0.312382830211508,0.792809823590564,0.872092302693407,-1.02216150585878,5,0.246138531626379,-0.391454645854978,-0.240445735398867,-0.525684788482633,38.99811,35.95941,40.13503,35.32965,-0.244353992215216,6.47697236288968,6.38687931936265,5.88749737924731
"Daraa","As_Suweida",30,"Jun 2016","Mar 2016",-1.07043122133282,-0.630052023791119,-0.489817450423219,-1.37850612977862,-0.8345019815136,-1.58117385320539,5,-0.59279985979646,-0.525684788482633,-0.59279985979646,-0.458569717168805,36.56629,32.7129,36.10331,32.62643,-0.848914885880887,3.40119738166216,4.0943445622221,2.90928346860822
"Rural Damascus","Damascus",77,"Jun 2016","Mar 2016",-0.993942879431996,-0.861986515271522,0.312382830211508,-0.344546151983772,0.520734655944906,0.09586318883443,5,-0.0558792892858427,-0.508906020654176,-0.290782038884238,-0.559242324139546,36.27653,33.51381,36.95411,33.51673,-0.709553888317339,4.34380542185368,3.2188758248682,3.49795561626794
"Al_Qunaytirah","Daraa",20,"Jun 2016","Mar 2016",-1.22340790513448,-0.838793066123482,-1.29201773105795,-1.37850612977862,-0.8345019815136,-0.742655332185478,5,-0.525684788482633,-0.559242324139546,-0.458569717168805,-0.59279985979646,36.10331,32.62643,35.8258,33.1263,-0.720821146158074,2.99573227355399,3.52636052461616,4.30357255122007
"Hassakeh","Deir Ezzor",165,"Jun 2016","Mar 2016",0.382847274782917,0.738361475943259,-0.757217543968128,-0.344546151983772,-0.578512838882549,-1.86068002687869,5,-0.391454645854978,-0.525684788482633,-0.525684788482633,-0.492127252825719,40.13503,35.32965,40.74627,36.50787,-0.109923602218688,5.10594547390058,2.77258872223978,3.18279172845231
"Deir Ezzor","Homs",35,"Jun 2016","Mar 2016",-1.03218705038241,-0.730943527585094,-0.489817450423219,0.792809823590564,0.872092302693407,-1.02216150585878,5,-0.408233413683435,-0.391454645854978,3.33343181206243,-0.525684788482633,36.7137,34.73243,40.13503,35.32965,1.22410022600721,3.55534806148941,5.13579843705026,4.63072739533314
"Daraa","Rural Damascus",15,"Jun 2016","Mar 2016",-0.458524486126197,0.413653187870695,0.312382830211508,-1.37850612977862,-0.8345019815136,-1.58117385320539,5,-0.508906020654176,-0.525684788482633,-0.559242324139546,-0.458569717168805,36.95411,33.51673,36.10331,32.62643,-0.225464500935786,2.70805020110221,4.17438726989564,3.63802622164621
"Al_Qunaytirah","Rural Damascus",34,"Jun 2016","Mar 2016",-0.458524486126197,0.413653187870695,0.312382830211508,-1.37850612977862,-0.8345019815136,-0.742655332185478,5,-0.508906020654176,-0.559242324139546,-0.559242324139546,-0.59279985979646,36.95411,33.51673,35.8258,33.1263,-0.326485092687498,3.52636052461616,3.55534806148941,3.42249084615984
"Homs","Daraa",22,"Jun 2016","Mar 2016",-1.22340790513448,-0.838793066123482,-1.29201773105795,-1.12001613532991,-0.717801048843562,-0.742655332185478,5,-0.525684788482633,-0.408233413683435,-0.458569717168805,3.33343181206243,36.10331,32.62643,36.7137,34.73243,0.637171702936614,3.09104245335832,5.54517744447956,3.26790483206728
"Homs","Hama",4539,"Jun 2016","Mar 2016",-1.41462875988655,1.44576167495849,-1.02461763751304,-1.12001613532991,-0.717801048843562,-0.742655332185478,5,-0.240445735398867,-0.408233413683435,0.0783508533418115,3.33343181206243,36.7552,35.14089,36.7137,34.73243,-0.839948338031188,8.42046200245647,4.53259949315326,5.54606994237564
"Raqqa","Deir Ezzor",32,"Jun 2016","Mar 2016",0.382847274782917,0.738361475943259,-0.757217543968128,-1.17171413421965,0.094086084893154,0.09586318883443,5,-0.391454645854978,0.246138531626379,-0.525684788482633,-0.240445735398867,40.13503,35.32965,38.99811,35.95941,-0.244353992215216,3.46573590279973,4.20469261939097,3.84952659078348
"Raqqa","Homs",11,"Jun 2016","Mar 2016",-1.03218705038241,-0.730943527585094,-0.489817450423219,-1.17171413421965,0.094086084893154,0.09586318883443,5,-0.408233413683435,0.246138531626379,3.33343181206243,-0.240445735398867,36.7137,34.73243,38.99811,35.95941,0.69145361781001,2.39789527279837,4.27666611901606,5.69599442397299
"Raqqa","Rural Damascus",5,"Jun 2016","Mar 2016",-0.458524486126197,0.413653187870695,0.312382830211508,-1.17171413421965,0.094086084893154,0.09586318883443,5,-0.508906020654176,0.246138531626379,-0.559242324139546,-0.240445735398867,36.95411,33.51673,38.99811,35.95941,1.30816113611909,1.6094379124341,5.13579843705026,3.80303958465942
"Hama","Homs",56,"Jun 2016","Mar 2016",-1.03218705038241,-0.730943527585094,-0.489817450423219,-1.63699612422734,1.63755003310979,-1.30166767953208,5,-0.408233413683435,-0.240445735398867,3.33343181206243,0.0783508533418115,36.7137,34.73243,36.7552,35.14089,-0.839948338031188,4.02535169073515,5.01063529409626,6.31846906591372
"Tartous","Homs",256,"Jun 2016","Mar 2016",-1.03218705038241,-0.730943527585094,-0.489817450423219,-0.551338147542742,-0.826972889083275,0.09586318883443,5,-0.408233413683435,-0.59279985979646,3.33343181206243,-0.59279985979646,36.7137,34.73243,35.88665,34.89593,-0.597297472148853,5.54517744447956,4.79579054559674,5.1984031384077
"Tartous","Edlib",36,"Jun 2016","Mar 2016",-1.03218705038241,-0.730943527585094,-0.489817450423219,-0.551338147542742,-0.826972889083275,0.09586318883443,5,-0.559242324139546,-0.59279985979646,-0.240445735398867,-0.59279985979646,36.64178,35.93103,35.88665,34.89593,-0.171944443518924,3.58351893845611,3.46573590279973,2.50649429904287
"Aleppo","Raqqa",949,"Jun 2016","Mar 2016",-1.07043122133282,0.0193645523540097,0.312382830211508,-1.34748733044478,-0.949948065445251,-2.00043311371534,5,0.246138531626379,2.62872356326724,-0.240445735398867,1.03474061956385,38.99811,35.95941,37.13426,36.2021,0.0984345530959813,6.85540879860993,7.43838353004431,6.08432948209961
