"Destination","Origin","Flow","Date","DataDate","DestFood","DestFuel","OrigFood","OrigFuel","DestConflict3","OrigConflict3","DestConflict","OrigConflict","dist","NumMonths","logFlow","flowLag1"
"Amran","Al Bayda",300,Jan 2014,Oct 2013,0.137065711438331,-0.973789415938619,-0.653940495324115,-0.99158586125379,-0.57518438125598,-0.587904144201086,-0.4772797133881,-0.499309098700934,0.769323711905031,0,5.70711026474888,5.6937321388027
"Amran","Amran",294,Jan 2014,Oct 2013,0.137065711438331,-0.973789415938619,0.0771080737069362,-0.970956543164151,-0.57518438125598,-0.587904144201086,-0.4772797133881,-0.499309098700934,-1.10754755629097,0,5.68697535633982,5.6937321388027
"Amran","Amran",66,Mar 2014,Dec 2013,-1.33512969838636,-0.995041364417599,-1.28751592181769,-0.99158586125379,-0.128246468304903,-0.143150378084592,-0.320289161875958,-0.347586179791705,-1.10754755629097,2,4.20469261939097,5.68697535633982
"Amran","Amran",108,Apr 2014,Jan 2014,-1.54544332836132,-0.973789415938619,-1.48246220689264,-0.970956543164151,-0.57518438125598,-0.587904144201086,-0.00630805885167207,-0.0441403419732459,-1.10754755629097,3,4.69134788222914,4.20469261939097
"Hajjah","Hajjah",744,Apr 2014,Jan 2014,-0.809345623448971,-0.995041364417599,-0.800150209130325,-0.99158586125379,-0.57518438125598,-0.587904144201086,-0.00630805885167207,-0.0441403419732459,-1.10754755629097,3,6.61338421837956,5.90263333340137
"Sa'ada","Sa'ada",366,Apr 2014,Jan 2014,0.242222526425809,-0.729392008430349,0.17458121624441,-0.733719385133304,-0.57518438125598,-0.587904144201086,-0.00630805885167207,-0.0441403419732459,-1.10754755629097,3,5.90536184805457,5.90263333340137
"Amran","Amran",198,May 2014,Feb 2014,-2.26050967027617,-0.973789415938619,-2.14527957614746,-0.970956543164151,-0.426205076938954,-0.439652888828922,1.09262580173333,1.01792009039136,-1.10754755629097,4,5.29330482472449,4.69134788222914
"Hajjah","Hajjah",24,May 2014,Feb 2014,-1.72420991384003,-0.995041364417599,-1.64816654920634,-0.99158586125379,-0.426205076938954,-0.439652888828922,1.09262580173333,1.01792009039136,-1.10754755629097,4,3.2188758248682,6.61338421837956
"Amran","Amran",630,Jun 2014,Mar 2014,-2.22896262577992,-0.973789415938619,-2.11603763338622,-0.970956543164151,-0.426205076938954,-0.439652888828922,0.621654147196899,0.562751333663672,-1.10754755629097,5,6.44730586254121,5.29330482472449
"Sana'a","Marib",72,Jun 2014,Mar 2014,-1.88720297707062,-0.995041364417599,-1.79924992013943,-0.99158586125379,-0.426205076938954,-0.439652888828922,0.778644698709042,0.714474252572901,-0.363008398230164,5,4.29045944114839,4.27666611901606
"Sana'a","Sana'a",18,Jun 2014,Mar 2014,-1.88720297707062,-0.995041364417599,-1.79924992013943,-0.99158586125379,-0.426205076938954,-0.439652888828922,0.778644698709042,0.714474252572901,-1.10754755629097,5,2.94443897916644,4.27666611901606
"Amran","Amran",36,Aug 2014,May 2014,-1.54544332836132,-0.973789415938619,-1.48246220689264,-0.970956543164151,0.914608661914278,0.894608409520562,-0.00630805885167207,-0.0441403419732459,-1.10754755629097,7,3.61091791264422,6.44730586254121
"Marib","Al Jawf",72,Aug 2014,May 2014,-0.914502438436449,-0.995041364417599,-0.897623351667798,-0.99158586125379,0.914608661914278,0.894608409520562,0.150682492660471,0.107582576935984,-0.210399772941623,7,4.29045944114839,4.27666611901606
"Marib","Marib",72,Aug 2014,May 2014,-0.914502438436449,-0.995041364417599,-0.897623351667798,-0.99158586125379,0.914608661914278,0.894608409520562,0.150682492660471,0.107582576935984,-1.10754755629097,7,4.29045944114839,4.27666611901606
"Amran","Amran",60,Sep 2014,Jun 2014,-1.22997288339888,-0.888781622022699,-1.19004277928022,-0.888439270805596,0.467670748963201,0.449854643404067,1.7205880077819,1.62481176602828,-1.10754755629097,8,4.11087386417331,3.61091791264422
"Marib","Ibb",48,Sep 2014,Jun 2014,-0.809345623448971,-0.995041364417599,-0.800150209130325,-0.99158586125379,0.616650053280226,0.449854643404067,1.7205880077819,1.62481176602828,0.164219067927134,8,3.89182029811063,3.98898404656427
"Al Hudaydah","Al Hudaydah",54,Nov 2014,Aug 2014,-1.01965925342393,-0.633758240274939,-0.995096494205272,-0.640887453729929,0.0207328360121232,0.00510087728757273,-0.634270264900243,-0.651032017610164,-1.10754755629097,10,4.00733318523247,3.73766961828337
"Marib","Al Bayda",42,Nov 2014,Aug 2014,-0.704188808461493,-0.633758240274939,-0.702677066592851,-0.640887453729929,0.0207328360121232,0.00510087728757273,-0.634270264900243,-0.651032017610164,-0.0873747473214432,10,3.76120011569356,3.73766961828337
"Marib","Marib",42,Nov 2014,Aug 2014,-0.704188808461493,-0.633758240274939,-0.702677066592851,-0.640887453729929,0.0207328360121232,0.00510087728757273,-0.634270264900243,-0.651032017610164,-1.10754755629097,10,3.76120011569356,4.29045944114839
"Marib","Al Bayda",6,Dec 2014,Sep 2014,-0.688415286213371,-0.761269931148819,-0.68805609521223,-0.764663362267762,1.51052587918238,1.48761343100922,-0.163298610363815,-0.0441403419732459,-0.0873747473214432,11,1.94591014905531,3.76120011569356
"Marib","Marib",18,Dec 2014,Sep 2014,-0.688415286213371,-0.761269931148819,-0.68805609521223,-0.764663362267762,1.51052587918238,1.48761343100922,-0.163298610363815,-0.195863260882475,-1.10754755629097,11,2.94443897916644,3.76120011569356
"Al Hudaydah","Aden",12,Jan 2015,Oct 2014,-0.704188808461493,-0.835651750825249,-0.800150209130325,-0.836865975581499,0.467670748963201,0.449854643404067,1.87757855929404,1.92825760384674,0.811493873733368,12,2.56494935746154,3.73766961828337
"Al Hudaydah","Al Hudaydah",60,Jan 2015,Oct 2014,-0.704188808461493,-0.835651750825249,-0.702677066592851,-0.836865975581499,0.467670748963201,0.449854643404067,1.87757855929404,1.77653468493751,-1.10754755629097,12,4.11087386417331,4.00733318523247
"Al Hudaydah","Amanat Al Asimah",6,Jan 2015,Oct 2014,-0.704188808461493,-0.835651750825249,-0.507730781517904,-0.836865975581499,0.467670748963201,0.449854643404067,1.87757855929404,1.77653468493751,-0.174080734383768,12,1.94591014905531,3.73766961828337
"Al Hudaydah","Hajjah",96,Jan 2015,Oct 2014,-0.704188808461493,-0.835651750825249,-1.28751592181769,-0.836865975581499,0.467670748963201,0.449854643404067,1.87757855929404,1.77653468493751,-0.361661717349873,12,4.57471097850338,3.73766961828337
"Al Hudaydah","Taizz",132,Jan 2015,Oct 2014,-0.704188808461493,-0.835651750825249,-0.605203924055378,-0.836865975581499,0.467670748963201,0.449854643404067,1.87757855929404,1.92825760384674,-0.0326936080836038,12,4.89034912822175,3.73766961828337
"Amran","Amanat Al Asimah",168,Jan 2015,Oct 2014,-0.493875178486537,-0.835651750825249,-0.507730781517904,-0.836865975581499,0.467670748963201,0.449854643404067,1.87757855929404,1.77653468493751,-0.517445912831104,12,5.12989871492307,3.73766961828337
